datetime,open,high,low,close,volume
2022-10-05 08:00:00,1718.33000,1722.43000,1718.33000,1721.95000,1135
2022-10-05 08:15:00,1721.97000,1721.98000,1719.47000,1720.30000,949
2022-10-05 08:30:00,1720.30000,1721.07000,1720.04000,1720.84000,806
2022-10-05 08:45:00,1720.84000,1721.06000,1718.03000,1718.50000,1089
2022-10-05 09:00:00,1718.52000,1720.06000,1717.74000,1719.20000,1189
2022-10-05 09:15:00,1719.20000,1723.73000,1719.02000,1723.04000,1076
2022-10-05 09:30:00,1723.03000,1725.80000,1722.55000,1725.53000,1046
2022-10-05 09:45:00,1725.53000,1727.80000,1724.14000,1724.46000,1664
2022-10-05 10:00:00,1724.47000,1724.97000,1722.14000,1722.57000,2037
2022-10-05 10:15:00,1722.57000,1722.85000,1717.84000,1718.91000,2204
2022-10-05 10:30:00,1718.91000,1719.67000,1717.85000,1718.72000,1966
2022-10-05 10:45:00,1718.73000,1718.81000,1715.10000,1716.42000,2032
2022-10-05 11:00:00,1716.41000,1716.53000,1713.03000,1713.69000,1975
2022-10-05 11:15:00,1713.68000,1713.73000,1709.89000,1711.24000,2347
2022-10-05 11:30:00,1711.30000,1715.26000,1710.79000,1714.86000,2084
2022-10-05 11:45:00,1714.86000,1715.81000,1713.56000,1714.80000,1787
2022-10-05 12:00:00,1714.77000,1715.24000,1713.68000,1713.73000,1540
2022-10-05 12:15:00,1713.82000,1714.23000,1712.69000,1712.86000,1247
2022-10-05 12:30:00,1712.87000,1713.72000,1709.78000,1709.87000,1381
2022-10-05 12:45:00,1709.94000,1710.68000,1706.09000,1706.56000,1975
2022-10-05 13:00:00,1706.56000,1708.38000,1704.62000,1704.72000,1994
2022-10-05 13:15:00,1704.76000,1708.09000,1703.20000,1707.98000,1991
2022-10-05 13:30:00,1708.03000,1709.98000,1707.90000,1709.40000,1621
2022-10-05 13:45:00,1709.38000,1712.80000,1707.79000,1712.75000,1694
2022-10-05 14:00:00,1712.75000,1713.20000,1710.52000,1712.14000,1911
2022-10-05 14:15:00,1712.15000,1712.56000,1709.52000,1709.61000,1483
2022-10-05 14:30:00,1709.58000,1711.17000,1705.33000,1705.37000,2013
2022-10-05 14:45:00,1705.37000,1706.51000,1705.18000,1706.26000,1796
2022-10-05 15:00:00,1706.14000,1706.99000,1704.81000,1706.38000,1892
2022-10-05 15:15:00,1706.39000,1711.58000,1704.38000,1711.40000,3163
2022-10-05 15:30:00,1711.41000,1713.33000,1710.10000,1710.45000,2564
2022-10-05 15:45:00,1710.45000,1714.21000,1709.26000,1713.28000,2393
2022-10-05 16:00:00,1713.30000,1713.78000,1709.79000,1711.20000,2483
2022-10-05 16:15:00,1711.17000,1711.74000,1710.00000,1710.21000,2116
2022-10-05 16:30:00,1710.21000,1711.86000,1705.86000,1705.95000,3327
2022-10-05 16:45:00,1705.97000,1710.37000,1705.68000,1708.53000,3284
2022-10-05 17:00:00,1708.53000,1708.53000,1700.54000,1705.45000,2816
2022-10-05 17:15:00,1705.46000,1706.34000,1703.02000,1703.48000,2143
2022-10-05 17:30:00,1703.48000,1711.25000,1702.93000,1709.24000,2111
2022-10-05 17:45:00,1709.22000,1709.34000,1706.67000,1707.22000,2039
2022-10-05 18:00:00,1707.33000,1710.21000,1707.08000,1708.12000,1852
2022-10-05 18:15:00,1708.15000,1709.63000,1707.02000,1708.63000,2212
2022-10-05 18:30:00,1708.64000,1710.21000,1707.74000,1708.82000,2281
2022-10-05 18:45:00,1708.81000,1709.43000,1707.18000,1709.14000,1823
2022-10-05 19:00:00,1709.14000,1710.33000,1708.20000,1708.53000,2096
2022-10-05 19:15:00,1708.54000,1710.61000,1708.54000,1710.47000,1599
2022-10-05 19:30:00,1710.47000,1711.42000,1708.75000,1708.89000,1334
2022-10-05 19:45:00,1708.89000,1710.10000,1708.03000,1708.54000,1517
2022-10-05 20:00:00,1708.55000,1710.57000,1707.67000,1710.34000,1414
2022-10-05 20:15:00,1710.34000,1712.76000,1710.31000,1711.75000,1441
2022-10-05 20:30:00,1711.73000,1712.94000,1710.67000,1712.90000,1206
