time_ms,rate
1685548800000,4.873e-05
1685577600008,6.731e-05
1685606400012,9.125e-05
1685635200000,0.0001
1685664000000,4.67e-05
1685692800006,0.0001
1685721600012,8.252e-05
1685750400000,0.0001
1685779200011,7.857e-05
1685808000003,9.5e-06
1685836800000,2.827e-05
1685865600000,4.801e-05
1685894400000,8.077e-05
1685923200005,2.94e-06
1685952000000,2.308e-05
1685980800000,7.505e-05
1686009600000,-4.896e-05
1686038400009,1.99e-06
1686067200013,8.581e-05
1686096000000,0.0001
1686124800016,0.0001
1686153600000,2.658e-05
1686182400006,6.055e-05
1686211200000,5.971e-05
1686240000000,6.27e-05
1686268800000,7.287e-05
1686297600000,9.72e-06
1686326400000,7.382e-05
1686355200000,6.01e-05
1686384000000,5.325e-05
1686412800000,1.875e-05
1686441600001,1.783e-05
1686470400000,6.332e-05
1686499200000,2.351e-05
1686528000000,7.802e-05
1686556800000,9.417e-05
1686585600001,2.839e-05
1686614400000,7.468e-05
1686643200000,4.944e-05
1686672000000,5.417e-05
1686700800000,9.312e-05
1686729600000,1.378e-05
1686758400000,2.759e-05
1686787200000,-7.479e-05
1686816000000,-8.236e-05
1686844800000,3.041e-05
1686873600000,-8.034e-05
1686902400000,-5.17e-05
1686931200000,-1.294e-05
1686960000000,6.711e-05
1686988800000,0.0001
1687017600000,-1.45e-06
1687046400000,-7.19e-06
1687075200000,-8.65e-06
1687104000000,5.296e-05
1687132800000,3.436e-05
1687161600000,5.597e-05
1687190400000,2.962e-05
1687219200001,3.35e-05
1687248000000,-2.167e-05
1687276800000,2.359e-05
1687305600000,0.0001
1687334400000,1.018e-05
1687363200000,-2.36e-06
1687392000000,0.0001
1687420800001,0.0001
1687449600000,0.0001
1687478400000,0.0001
1687507200000,0.0001
1687536000000,4.288e-05
1687564800000,0.0001
1687593600000,0.0001
1687622400000,3.414e-05
1687651200000,0.0001
1687680000000,0.0001
1687708800000,0.0001
1687737600000,0.0001
1687766400000,7.153e-05
1687795200000,7.038e-05
1687824000000,4.477e-05
1687852800000,6.237e-05
1687881600000,1.184e-05
1687910400000,0.0001
1687939200000,2.202e-05
1687968000000,3.873e-05
1687996800000,1.497e-05
1688025600000,1.188e-05
1688054400000,0.0001
1688083200000,3.965e-05
1688112000000,0.0001
1688140800001,0.0001
1688169600000,0.0001
1688198400000,0.0001
1688227200000,0.0001
1688256000000,0.0001
1688284800000,0.0001
1688313600001,0.0001
1688342400000,0.0001
1688371200000,0.0001
1688400000000,0.0001
1688428800001,0.0001
1688457600000,0.0001
1688486400000,0.0001
1688515200000,0.0001
1688544000000,0.0001
1688572800000,0.0001
1688601600000,0.0001
1688630400000,0.0001
1688659200000,2.778e-05
1688688000000,7.449e-05
1688716800000,3.362e-05
1688745600000,2.585e-05
1688774400000,3.796e-05
1688803200000,1.339e-05
1688832000000,-4.17e-06
1688860800000,3.226e-05
1688889600000,2.878e-05
1688918400000,3.18e-05
1688947200000,2.726e-05
1688976000000,4.524e-05
1689004800000,7.179e-05
1689033600000,9.527e-05
1689062400000,7.653e-05
1689091200000,2.549e-05
1689120000000,8.29e-05
1689148800000,0.0001
1689177600000,7.32e-05
1689206400000,-8.22e-06
1689235200000,5.591e-05
1689264000000,-4.55e-05
1689292800000,0.0001
1689321600000,0.0001
1689350400000,0.0001
1689379200000,-1.31e-06
1689408000000,8.11e-05
1689436800000,8.792e-05
1689465600001,5.641e-05
1689494400000,4.632e-05
1689523200000,4.081e-05
1689552000000,2.809e-05
1689580800000,2.313e-05
1689609600000,3.963e-05
1689638400000,6.696e-05
1689667200000,8.539e-05
1689696000000,7.161e-05
1689724800000,6.538e-05
1689753600000,0.0001
1689782400001,9.161e-05
1689811200000,-2.41e-06
1689840000000,9.217e-05
1689868800000,0.0001
1689897600001,1.798e-05
1689926400000,4.73e-06
1689955200000,7.376e-05
1689984000000,5.769e-05
1690012800000,-4.15e-06
